procedencia,Isla,gasto_persona,gasto_persona_dia,year,month
Con paquete turístico,Eivissa-Formentera,965.36,133.42,2017,10
Sin paquete turístico,Eivissa-Formentera,1050.25,113.33,2017,10
Con paquete turístico,Mallorca,1033.83,140.37,2017,9
Sin paquete turístico,Mallorca,1005.21,124.95,2017,9
Con paquete turístico,Menorca,1068.31,140.19,2017,9
Sin paquete turístico,Menorca,787.63,105.08,2017,9
Con paquete turístico,Eivissa-Formentera,940.71,150.56,2017,9
Sin paquete turístico,Eivissa-Formentera,939.1,169.65,2017,9
Con paquete turístico,Mallorca,1174.52,147.22,2017,8
Sin paquete turístico,Mallorca,1118.9,117.98,2017,8
Con paquete turístico,Menorca,1112.24,144.38,2017,8
Sin paquete turístico,Menorca,932.41,109.69,2017,8
Con paquete turístico,Eivissa-Formentera,1062.62,164.48,2017,8
Sin paquete turístico,Eivissa-Formentera,1024.78,165.04,2017,8
Con paquete turístico,Mallorca,1105.19,150.84,2017,7
Sin paquete turístico,Mallorca,1105.47,134.85,2017,7
Con paquete turístico,Menorca,1069.58,142.54,2017,7
Sin paquete turístico,Menorca,930.88,116.22,2017,7
Con paquete turístico,Eivissa-Formentera,1115.48,162.88,2017,7
Sin paquete turístico,Eivissa-Formentera,1149.1,202.28,2017,7
Con paquete turístico,Mallorca,1011.03,137.2,2017,6
Sin paquete turístico,Mallorca,938.62,137.65,2017,6
Con paquete turístico,Menorca,987.56,131.13,2017,6
Sin paquete turístico,Menorca,839.22,127.73,2017,6
Con paquete turístico,Eivissa-Formentera,930.14,141.18,2017,6
Sin paquete turístico,Eivissa-Formentera,917.58,178.54,2017,6
Con paquete turístico,Mallorca,974.6,144.5,2017,5
Sin paquete turístico,Mallorca,880.25,145.27,2017,5
Con paquete turístico,Menorca,884.67,133.37,2017,5
Sin paquete turístico,Menorca,775.41,123.83,2017,5
Con paquete turístico,Eivissa-Formentera,940.03,134.49,2017,5
Sin paquete turístico,Eivissa-Formentera,778.45,149.08,2017,5
Con paquete turístico,Mallorca,908.75,138.36,2017,4
