origen_turistas,Isla,year,month,Num_turistas
ESPAÑA,Mallorca,2016,9,131035.0
Francia,Mallorca,2016,9,42102.0
Italia,Mallorca,2016,9,21694.0
Reino Unido,Mallorca,2016,9,341775.0
Alemania,Mallorca,2016,9,558596.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,9,55590.0
Países nórdicos,Mallorca,2016,9,104450.0
ESPAÑA,Mallorca,2016,8,171921.0
Francia,Mallorca,2016,8,87242.0
Italia,Mallorca,2016,8,73842.0
Reino Unido,Mallorca,2016,8,401188.0
Alemania,Mallorca,2016,8,632171.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,8,110149.0
Países nórdicos,Mallorca,2016,8,118840.0
ESPAÑA,Mallorca,2016,7,171724.0
Francia,Mallorca,2016,7,90024.0
Italia,Mallorca,2016,7,33158.0
Reino Unido,Mallorca,2016,7,399959.0
Alemania,Mallorca,2016,7,621117.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,7,108056.0
Países nórdicos,Mallorca,2016,7,170122.0
ESPAÑA,Mallorca,2016,6,131554.0
Francia,Mallorca,2016,6,41646.0
Italia,Mallorca,2016,6,19877.0
Reino Unido,Mallorca,2016,6,377351.0
Alemania,Mallorca,2016,6,576315.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,6,41427.0
Países nórdicos,Mallorca,2016,6,130012.0
ESPAÑA,Mallorca,2016,5,85971.0
Francia,Mallorca,2016,5,52100.0
Italia,Mallorca,2016,5,13112.0
Reino Unido,Mallorca,2016,5,283405.0
Alemania,Mallorca,2016,5,535503.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,5,101478.0
Países nórdicos,Mallorca,2016,5,70088.0
ESPAÑA,Mallorca,2016,4,109106.0
Francia,Mallorca,2016,4,34817.0
Italia,Mallorca,2016,4,8976.0
Reino Unido,Mallorca,2016,4,152045.0
Alemania,Mallorca,2016,4,294708.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,4,31959.0
Países nórdicos,Mallorca,2016,4,55872.0
ESPAÑA,Mallorca,2016,3,101955.0
Francia,Mallorca,2016,3,5005.0
Italia,Mallorca,2016,3,
Reino Unido,Mallorca,2016,3,75005.0
Alemania,Mallorca,2016,3,208037.0
"Bélgica, Luxemburgo y Países Bajos",Mallorca,2016,3,18883.0
Países nórdicos,Mallorca,2016,3,15922.0
ESPAÑA,Mallorca,2016,2,65966.0
Francia,Mallorca,2016,2,4751.0
Italia,Mallorca,2016,2,
Reino Unido,Mallorca,2016,2,17870.0
