tipo_alojamiento,Isla,year,month,Num_establecimientos
Hoteles y similares,Menorca,2021,12,2538.0
Alojamiento de alquiler,Menorca,2021,12,636.0
Otro alojamiento de mercado,Menorca,2021,12,
Alojamiento en propiedad,Menorca,2021,12,1574.0
Alojamiento de familiares o amigos,Menorca,2021,12,3024.0
Hoteles y similares,Menorca,2021,11,3675.0
Alojamiento de alquiler,Menorca,2021,11,1312.0
Otro alojamiento de mercado,Menorca,2021,11,
Alojamiento en propiedad,Menorca,2021,11,2188.0
Alojamiento de familiares o amigos,Menorca,2021,11,2438.0
Hoteles y similares,Menorca,2021,10,40514.0
Alojamiento de alquiler,Menorca,2021,10,15495.0
Otro alojamiento de mercado,Menorca,2021,10,698.0
Alojamiento en propiedad,Menorca,2021,10,8137.0
Alojamiento de familiares o amigos,Menorca,2021,10,6478.0
Hoteles y similares,Menorca,2021,9,109204.0
Alojamiento de alquiler,Menorca,2021,9,37565.0
Otro alojamiento de mercado,Menorca,2021,9,4557.0
Alojamiento en propiedad,Menorca,2021,9,8620.0
Alojamiento de familiares o amigos,Menorca,2021,9,14029.0
Hoteles y similares,Menorca,2021,8,158752.0
Alojamiento de alquiler,Menorca,2021,8,64576.0
Otro alojamiento de mercado,Menorca,2021,8,11064.0
Alojamiento en propiedad,Menorca,2021,8,23387.0
Alojamiento de familiares o amigos,Menorca,2021,8,38826.0
Hoteles y similares,Menorca,2021,7,123558.0
Alojamiento de alquiler,Menorca,2021,7,82216.0
Otro alojamiento de mercado,Menorca,2021,7,7305.0
Alojamiento en propiedad,Menorca,2021,7,16152.0
Alojamiento de familiares o amigos,Menorca,2021,7,29862.0
Hoteles y similares,Menorca,2021,6,51132.0
Alojamiento de alquiler,Menorca,2021,6,29488.0
Otro alojamiento de mercado,Menorca,2021,6,2907.0
Alojamiento en propiedad,Menorca,2021,6,13385.0
Alojamiento de familiares o amigos,Menorca,2021,6,11947.0
Hoteles y similares,Menorca,2021,5,9774.0
Alojamiento de alquiler,Menorca,2021,5,4375.0
Otro alojamiento de mercado,Menorca,2021,5,
Alojamiento en propiedad,Menorca,2021,5,5728.0
Alojamiento de familiares o amigos,Menorca,2021,5,7269.0
Hoteles y similares,Menorca,2021,4,2551.0
Alojamiento de alquiler,Menorca,2021,4,452.0
