procedencia,Isla,Transporte,Alojamiento,Manutención,Actividades,Otros,year,month
Extranjero,Ibiza_Formentera,6.32,2.02,3.13,3.45,1.18,2016,11
España,Mallorca,7.67,7.08,6.2,4.61,5.43,2016,10
Extranjero,Mallorca,105.48,155.12,161.18,125.89,99.18,2016,10
España,Menorca,1.96,1.78,2.61,1.17,1.44,2016,10
Extranjero,Menorca,4.07,6.27,8.83,6.94,4.55,2016,10
España,Ibiza_Formentera,4.57,6.67,5.86,2.95,2.69,2016,10
Extranjero,Ibiza_Formentera,26.06,30.73,25.57,25.12,13.09,2016,10
España,Mallorca,14.39,13.26,15.77,12.2,14.29,2016,9
Extranjero,Mallorca,113.47,184.5,200.16,170.75,111.63,2016,9
España,Menorca,7.24,9.7,9.08,3.23,7.03,2016,9
Extranjero,Menorca,15.65,15.26,20.32,17.03,10.63,2016,9
España,Ibiza_Formentera,9.05,11.97,13.98,7.0,7.06,2016,9
Extranjero,Ibiza_Formentera,59.72,54.45,64.69,56.62,27.73,2016,9
España,Mallorca,21.74,20.9,23.72,15.82,24.65,2016,8
Extranjero,Mallorca,169.63,311.14,266.05,210.01,155.06,2016,8
España,Menorca,18.74,26.04,23.77,7.9,11.25,2016,8
Extranjero,Menorca,19.87,35.48,26.73,18.94,20.35,2016,8
España,Ibiza_Formentera,17.12,22.51,24.1,11.97,7.88,2016,8
Extranjero,Ibiza_Formentera,92.11,92.79,82.91,63.96,45.99,2016,8
España,Mallorca,21.71,14.92,19.27,14.28,17.52,2016,7
Extranjero,Mallorca,194.98,291.02,274.23,208.75,160.21,2016,7
España,Menorca,14.17,18.75,16.05,5.48,9.64,2016,7
Extranjero,Menorca,21.31,28.07,30.09,24.01,19.56,2016,7
España,Ibiza_Formentera,15.15,16.69,17.62,9.58,8.21,2016,7
Extranjero,Ibiza_Formentera,111.17,97.09,85.15,76.48,45.49,2016,7
España,Mallorca,14.11,12.95,13.79,10.99,13.53,2016,6
Extranjero,Mallorca,136.28,197.17,218.45,184.07,122.35,2016,6
