origen_turista,Gasto_persona,Gasto_persona_día,year,month
Alemania,938.62,104.29,2015,7
"Bélgica, Luxemburgo y Países Bajos",1139.88,143.41,2015,7
Países nórdicos,1393.52,163.92,2015,7
ESPAÑA,641.09,88.82,2015,6
Francia,845.7,115.77,2015,6
Italia,753.37,105.04,2015,6
Reino Unido,875.52,118.58,2015,6
Alemania,887.28,112.69,2015,6
"Bélgica, Luxemburgo y Países Bajos",884.69,103.67,2015,6
Países nórdicos,888.65,112.67,2015,6
ESPAÑA,699.22,96.1,2015,5
Francia,652.41,99.12,2015,5
Italia,869.51,120.64,2015,5
Reino Unido,686.65,101.26,2015,5
Alemania,750.3,109.23,2015,5
"Bélgica, Luxemburgo y Países Bajos",781.04,99.57,2015,5
Países nórdicos,1110.49,156.1,2015,5
ESPAÑA,631.85,81.04,2015,4
Francia,917.83,114.15,2015,4
Italia,560.7,68.05,2015,4
Reino Unido,712.6,101.7,2015,4
Alemania,737.19,103.7,2015,4
"Bélgica, Luxemburgo y Países Bajos",660.12,107.11,2015,4
Países nórdicos,1061.98,128.36,2015,4
ESPAÑA,629.14,93.99,2015,3
Francia,,,2015,3
Italia,1221.5,90.03,2015,3
Reino Unido,946.17,107.39,2015,3
Alemania,888.05,108.41,2015,3
"Bélgica, Luxemburgo y Países Bajos",,,2015,3
Países nórdicos,,,2015,3
ESPAÑA,662.68,85.34,2015,2
Francia,,,2015,2
Italia,,,2015,2
Reino Unido,670.67,75.63,2015,2
Alemania,924.38,108.37,2015,2
"Bélgica, Luxemburgo y Países Bajos",,,2015,2
Países nórdicos,,,2015,2
ESPAÑA,641.32,72.33,2015,1
Francia,,,2015,1
Italia,,,2015,1
Reino Unido,,,2015,1
Alemania,874.8,92.1,2015,1
"Bélgica, Luxemburgo y Países Bajos",,,2015,1
Países nórdicos,,,2015,1
ESPAÑA,792.49,91.94,2014,12
Francia,,,2014,12
Italia,,,2014,12
Reino Unido,713.52,88.42,2014,12
Alemania,899.38,111.62,2014,12
"Bélgica, Luxemburgo y Países Bajos",,,2014,12
Países nórdicos,,,2014,12
ESPAÑA,688.74,87.01,2014,11
Francia,839.87,93.16,2014,11
Italia,1449.94,79.11,2014,11
Reino Unido,634.35,95.53,2014,11
Alemania,871.23,101.94,2014,11
"Bélgica, Luxemburgo y Países Bajos",,,2014,11
Países nórdicos,,,2014,11
ESPAÑA,897.16,95.76,2014,10
Francia,757.61,88.63,2014,10
Italia,810.68,67.84,2014,10
Reino Unido,766.51,93.67,2014,10
Alemania,867.79,109.98,2014,10
"Bélgica, Luxemburgo y Países Bajos",799.88,86.34,2014,10
Países nórdicos,898.35,121.54,2014,10
ESPAÑA,769.31,86.23,2014,9
Francia,862.26,92.36,2014,9
Italia,821.81,104.61,2014,9
Reino Unido,859.62,108.47,2014,9
Alemania,899.66,108.22,2014,9
"Bélgica, Luxemburgo y Países Bajos",936.22,98.77,2014,9
Países nórdicos,1043.11,128.93,2014,9
ESPAÑA,820.42,96.79,2014,8
Francia,1010.01,99.46,2014,8
Italia,1021.65,127.93,2014,8
Reino Unido,1012.74,116.06,2014,8
Alemania,971.08,103.88,2014,8
"Bélgica, Luxemburgo y Países Bajos",1013.13,108.23,2014,8
Países nórdicos,1225.18,134.89,2014,8
ESPAÑA,813.24,114.71,2014,7
Francia,828.41,87.78,2014,7
Italia,802.14,111.94,2014,7
Reino Unido,828.24,104.39,2014,7
Alemania,854.01,102.56,2014,7
"Bélgica, Luxemburgo y Países Bajos",902.45,106.7,2014,7
Países nórdicos,1289.84,147.24,2014,7
ESPAÑA,680.2,100.25,2014,6
Francia,773.13,102.5,2014,6
Italia,757.32,107.96,2014,6
Reino Unido,806.53,106.99,2014,6
Alemania,858.77,108.16,2014,6
"Bélgica, Luxemburgo y Países Bajos",856.44,111.75,2014,6
Países nórdicos,1105.07,137.62,2014,6
ESPAÑA,609.46,92.62,2014,5
Francia,603.99,91.17,2014,5
Italia,515.83,97.63,2014,5
Reino Unido,668.98,93.58,2014,5
Alemania,721.32,100.06,2014,5
"Bélgica, Luxemburgo y Países Bajos",685.26,99.79,2014,5
Países nórdicos,845.14,102.8,2014,5
ESPAÑA,592.26,77.57,2014,4
Francia,753.6,101.03,2014,4
Italia,504.52,94.85,2014,4
Reino Unido,675.78,99.67,2014,4
Alemania,753.37,98.26,2014,4
"Bélgica, Luxemburgo y Países Bajos",802.71,106.33,2014,4
Países nórdicos,878.63,122.08,2014,4
ESPAÑA,623.33,91.3,2014,3
Francia,,,2014,3
Italia,,,2014,3
Reino Unido,653.28,93.53,2014,3
Alemania,958.15,115.42,2014,3
"Bélgica, Luxemburgo y Países Bajos",,,2014,3
Países nórdicos,,,2014,3
ESPAÑA,555.48,84.67,2014,2
Francia,,,2014,2
Italia,,,2014,2
Reino Unido,608.49,74.62,2014,2
Alemania,944.47,88.41,2014,2
"Bélgica, Luxemburgo y Países Bajos",,,2014,2
Países nórdicos,,,2014,2
ESPAÑA,590.42,76.47,2014,1
