tipo_alojamiento,year,num_establecim,num_plazas,Isla
   (HA) HOTEL APARTAMENTO,2019,32.0,12161.0,Menorca
   (HO) HOSPEDERÍA,2019,1.0,36.0,Menorca
   (HR) HOTEL RURAL,2019,6.0,226.0,Menorca
   (HRE) HOTEL RESIDENCIA,2019,0.0,0.0,Menorca
   (HS) HOSTAL,2019,9.0,350.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2019,13.0,502.0,Menorca
   (PE) PENSIÓN,2019,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2019,3.0,1612.0,Menorca
   (TI) TURISMO DE INTERIOR,2019,42.0,588.0,Menorca
   (AG) AGROTURISMO,2018,26.0,451.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2018,204.0,20032.0,Menorca
   (CH) CASA DE HUÉSPEDES,2018,2.0,39.0,Menorca
   (CT) CAMPING TURÍSTICO,2018,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2018,1.0,816.0,Menorca
   (F) FONDA,2018,1.0,7.0,Menorca
   (H) HOTEL,2018,52.0,14037.0,Menorca
   (HA) HOTEL APARTAMENTO,2018,32.0,12151.0,Menorca
   (HO) HOSPEDERÍA,2018,0.0,0.0,Menorca
   (HR) HOTEL RURAL,2018,6.0,212.0,Menorca
   (HRE) HOTEL RESIDENCIA,2018,1.0,429.0,Menorca
   (HS) HOSTAL,2018,9.0,350.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2018,13.0,503.0,Menorca
   (PE) PENSIÓN,2018,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2018,3.0,1612.0,Menorca
   (TI) TURISMO DE INTERIOR,2018,37.0,527.0,Menorca
   (AG) AGROTURISMO,2017,24.0,378.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2017,205.0,20335.0,Menorca
   (CH) CASA DE HUÉSPEDES,2017,2.0,39.0,Menorca
   (CT) CAMPING TURÍSTICO,2017,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2017,1.0,816.0,Menorca
   (F) FONDA,2017,1.0,7.0,Menorca
   (H) HOTEL,2017,51.0,13708.0,Menorca
   (HA) HOTEL APARTAMENTO,2017,32.0,12121.0,Menorca
   (HO) HOSPEDERÍA,2017,0.0,0.0,Menorca
   (HR) HOTEL RURAL,2017,6.0,202.0,Menorca
   (HRE) HOTEL RESIDENCIA,2017,1.0,429.0,Menorca
   (HS) HOSTAL,2017,9.0,350.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2017,13.0,503.0,Menorca
   (PE) PENSIÓN,2017,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2017,3.0,1612.0,Menorca
   (TI) TURISMO DE INTERIOR,2017,25.0,337.0,Menorca
   (AG) AGROTURISMO,2016,22.0,336.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2016,206.0,20402.0,Menorca
   (CH) CASA DE HUÉSPEDES,2016,2.0,39.0,Menorca
   (CT) CAMPING TURÍSTICO,2016,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2016,1.0,816.0,Menorca
   (F) FONDA,2016,1.0,7.0,Menorca
   (H) HOTEL,2016,51.0,14548.0,Menorca
   (HA) HOTEL APARTAMENTO,2016,30.0,10459.0,Menorca
   (HO) HOSPEDERÍA,2016,0.0,0.0,Menorca
   (HR) HOTEL RURAL,2016,6.0,202.0,Menorca
   (HRE) HOTEL RESIDENCIA,2016,2.0,569.0,Menorca
   (HS) HOSTAL,2016,9.0,351.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2016,14.0,567.0,Menorca
   (PE) PENSIÓN,2016,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2016,2.0,1183.0,Menorca
   (TI) TURISMO DE INTERIOR,2016,13.0,218.0,Menorca
   (AG) AGROTURISMO,2015,24.0,355.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2015,206.0,20330.0,Menorca
   (CH) CASA DE HUÉSPEDES,2015,2.0,39.0,Menorca
   (CT) CAMPING TURÍSTICO,2015,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2015,1.0,816.0,Menorca
   (F) FONDA,2015,1.0,7.0,Menorca
   (H) HOTEL,2015,48.0,13239.0,Menorca
   (HA) HOTEL APARTAMENTO,2015,30.0,10774.0,Menorca
   (HO) HOSPEDERÍA,2015,0.0,0.0,Menorca
   (HR) HOTEL RURAL,2015,6.0,202.0,Menorca
   (HRE) HOTEL RESIDENCIA,2015,1.0,140.0,Menorca
   (HS) HOSTAL,2015,9.0,350.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2015,14.0,567.0,Menorca
   (PE) PENSIÓN,2015,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2015,3.0,1612.0,Menorca
   (TI) TURISMO DE INTERIOR,2015,12.0,186.0,Menorca
   (AG) AGROTURISMO,2014,21.0,285.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2014,204.0,19548.0,Menorca
   (CH) CASA DE HUÉSPEDES,2014,2.0,39.0,Menorca
   (CT) CAMPING TURÍSTICO,2014,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2014,1.0,816.0,Menorca
   (F) FONDA,2014,1.0,7.0,Menorca
   (H) HOTEL,2014,50.0,13552.0,Menorca
   (HA) HOTEL APARTAMENTO,2014,36.0,10794.0,Menorca
   (HO) HOSPEDERÍA,2014,0.0,0.0,Menorca
   (HR) HOTEL RURAL,2014,6.0,199.0,Menorca
   (HRE) HOTEL RESIDENCIA,2014,1.0,140.0,Menorca
   (HS) HOSTAL,2014,9.0,375.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2014,13.0,495.0,Menorca
   (PE) PENSIÓN,2014,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2014,3.0,1612.0,Menorca
   (TI) TURISMO DE INTERIOR,2014,8.0,168.0,Menorca
   (AG) AGROTURISMO,2013,17.0,241.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2013,207.0,20298.0,Menorca
   (CH) CASA DE HUÉSPEDES,2013,2.0,39.0,Menorca
   (CT) CAMPING TURÍSTICO,2013,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2013,1.0,816.0,Menorca
   (F) FONDA,2013,1.0,7.0,Menorca
   (H) HOTEL,2013,50.0,14433.0,Menorca
   (HA) HOTEL APARTAMENTO,2013,30.0,10180.0,Menorca
   (HO) HOSPEDERÍA,2013,0.0,0.0,Menorca
   (HR) HOTEL RURAL,2013,6.0,199.0,Menorca
   (HRE) HOTEL RESIDENCIA,2013,1.0,140.0,Menorca
   (HS) HOSTAL,2013,11.0,443.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2013,15.0,591.0,Menorca
   (PE) PENSIÓN,2013,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2013,2.0,1245.0,Menorca
   (TI) TURISMO DE INTERIOR,2013,7.0,98.0,Menorca
   (AG) AGROTURISMO,2012,14.0,179.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2012,207.0,20298.0,Menorca
   (CH) CASA DE HUÉSPEDES,2012,3.0,53.0,Menorca
   (CT) CAMPING TURÍSTICO,2012,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2012,1.0,816.0,Menorca
   (F) FONDA,2012,1.0,7.0,Menorca
   (H) HOTEL,2012,47.0,13904.0,Menorca
   (HA) HOTEL APARTAMENTO,2012,30.0,10180.0,Menorca
   (HO) HOSPEDERÍA,2012,0.0,0.0,Menorca
   (HR) HOTEL RURAL,2012,6.0,199.0,Menorca
   (HRE) HOTEL RESIDENCIA,2012,3.0,302.0,Menorca
   (HS) HOSTAL,2012,11.0,443.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2012,15.0,591.0,Menorca
   (PE) PENSIÓN,2012,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2012,3.0,1612.0,Menorca
   (TI) TURISMO DE INTERIOR,2012,5.0,72.0,Menorca
   (AG) AGROTURISMO,2011,11.0,128.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2011,218.0,20631.0,Menorca
   (CH) CASA DE HUÉSPEDES,2011,3.0,53.0,Menorca
   (CT) CAMPING TURÍSTICO,2011,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2011,1.0,816.0,Menorca
   (F) FONDA,2011,2.0,22.0,Menorca
   (H) HOTEL,2011,45.0,13477.0,Menorca
   (HA) HOTEL APARTAMENTO,2011,28.0,10162.0,Menorca
   (HO) HOSPEDERÍA,2011,,,Menorca
   (HR) HOTEL RURAL,2011,4.0,121.0,Menorca
   (HRE) HOTEL RESIDENCIA,2011,4.0,331.0,Menorca
   (HS) HOSTAL,2011,12.0,517.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2011,13.0,451.0,Menorca
   (PE) PENSIÓN,2011,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2011,6.0,1760.0,Menorca
   (TI) TURISMO DE INTERIOR,2011,5.0,72.0,Menorca
   (AG) AGROTURISMO,2010,11.0,120.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2010,218.0,20631.0,Menorca
   (CH) CASA DE HUÉSPEDES,2010,4.0,63.0,Menorca
   (CT) CAMPING TURÍSTICO,2010,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2010,1.0,816.0,Menorca
   (F) FONDA,2010,2.0,22.0,Menorca
   (H) HOTEL,2010,45.0,13477.0,Menorca
   (HA) HOTEL APARTAMENTO,2010,29.0,10340.0,Menorca
   (HO) HOSPEDERÍA,2010,,,Menorca
   (HR) HOTEL RURAL,2010,4.0,119.0,Menorca
   (HRE) HOTEL RESIDENCIA,2010,4.0,331.0,Menorca
   (HS) HOSTAL,2010,11.0,443.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2010,15.0,591.0,Menorca
   (PE) PENSIÓN,2010,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2010,4.0,1684.0,Menorca
   (TI) TURISMO DE INTERIOR,2010,3.0,44.0,Menorca
   (AG) AGROTURISMO,2009,11.0,120.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2009,222.0,21101.0,Menorca
   (CH) CASA DE HUÉSPEDES,2009,5.0,77.0,Menorca
   (CT) CAMPING TURÍSTICO,2009,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2009,1.0,816.0,Menorca
   (F) FONDA,2009,2.0,22.0,Menorca
   (H) HOTEL,2009,45.0,13477.0,Menorca
   (HA) HOTEL APARTAMENTO,2009,28.0,9942.0,Menorca
   (HO) HOSPEDERÍA,2009,,,Menorca
   (HR) HOTEL RURAL,2009,4.0,119.0,Menorca
   (HRE) HOTEL RESIDENCIA,2009,4.0,331.0,Menorca
   (HS) HOSTAL,2009,11.0,443.0,Menorca
   (HSR) HOSTAL RESIDENCIA,2009,16.0,611.0,Menorca
   (PE) PENSIÓN,2009,0.0,0.0,Menorca
   (RA) RESIDENCIA APARTAMENTO,2009,4.0,1684.0,Menorca
   (TI) TURISMO DE INTERIOR,2009,3.0,44.0,Menorca
   (AG) AGROTURISMO,2008,11.0,120.0,Menorca
   (AP) APARTAMENTOS TURÍSTICOS,2008,222.0,20939.0,Menorca
   (CH) CASA DE HUÉSPEDES,2008,4.0,67.0,Menorca
   (CT) CAMPING TURÍSTICO,2008,2.0,1039.0,Menorca
   (CV) CIUDAD DE VACACIONES,2008,1.0,816.0,Menorca
   (F) FONDA,2008,2.0,22.0,Menorca
   (H) HOTEL,2008,45.0,13799.0,Menorca
   (HA) HOTEL APARTAMENTO,2008,28.0,9942.0,Menorca
   (HO) HOSPEDERÍA,2008,,,Menorca
